Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-23305.5	-23314.5	9.01033	0.00593371	0.00185667	0.128506	0.0337617	0.016293	0.0760659	0.36989	0.189759	0.288324	0.0609048	0.0349603	0.21968	0.0139483	0.19904	0.0716304	0.176889	0.0627824	0.0254821	0.101026	0.0238163	0.0859119	0.366325	0.0543678	0.00790053	0.460245	0.148937	0.148128	0.0599592	0.0901095	0.0132833	0.0220045	0.0880566	0.0622648	0.0221008	0.170221	0.0390468	0.00946399	0.0635776	0.0765674	0.0110332	0.00779706	0.00632412	0.131626	0.456031	0.0703327	0.236562	0.0371759	0.0268982	0.173	0.240551	0.568831	0.0640507	0.126567	4.2458
10	-16886.2	-16900.1	13.9823	0.0231803	0.00825171	0.121874	0.0526218	0.0643613	0.108122	0.281627	0.144291	0.141109	0.205058	0.0577239	0.126273	0.135395	0.182219	0.142743	0.15682	0.116821	0.0475225	0.0980034	0.0370094	0.160947	0.120283	0.149419	0.0529693	0.260322	0.0511107	0.0843942	0.05991	0.0266569	0.0430824	0.062954	0.0503658	0.0431846	0.010776	0.02742	0.0794696	0.00778189	0.02049	0.120718	0.0262048	0.00549799	0.0105531	0.0230596	0.204567	0.414038	0.0556143	0.0578075	0.240007	0.0279663	0.227872	0.282639	0.0609282	0.42856	3.748598
20	-15680.7	-15700.2	19.4862	0.124424	0.0211991	0.121874	0.10307	0.113992	0.0779319	0.122725	0.116727	0.100846	0.197733	0.164295	0.112936	0.116748	0.0875198	0.155591	0.117259	0.165682	0.0733597	0.0943733	0.0791372	0.0992378	0.0925641	0.13499	0.0419841	0.0508706	0.0733328	0.0402666	0.0209788	0.0235587	0.0531134	0.0686005	0.0584929	0.015112	0.00510056	0.0188926	0.0390667	0.0112732	0.021715	0.0369574	0.00763028	0.0040679	0.00496953	0.0080132	0.208704	0.42241	0.0539642	0.0589764	0.24486	0.0110856	0.218369	0.270852	0.100092	0.410687	3.198213
30	-15243.5	-15262.1	18.6049	0.122437	0.0784849	0.114384	0.0956446	0.0866162	0.0756671	0.122725	0.0741253	0.103483	0.186402	0.104605	0.124966	0.116748	0.111421	0.155591	0.120533	0.1545	0.109318	0.122838	0.07374	0.0851926	0.0871876	0.178732	0.0208147	0.0170189	0.0800593	0.0188742	0.00952956	0.010316	0.0575565	0.0212876	0.113882	0.0196551	0.00823979	0.0327219	0.0458123	0.0320564	0.0211826	0.123197	0.0192304	0.0100103	0.0140019	0.00555607	0.224866	0.353788	0.0502305	0.0311126	0.329685	0.0103186	0.222455	0.269436	0.0995691	0.40854	3.286345
40	-15160.8	-15180	19.2022	0.120858	0.131503	0.0951779	0.111905	0.101875	0.0886738	0.113363	0.0605206	0.0773182	0.180908	0.111813	0.12949	0.0835448	0.128898	0.131203	0.146145	0.130454	0.105639	0.0854697	0.0781433	0.0909945	0.104556	0.178276	0.0156543	0.0136047	0.0883319	0.00660745	0.0240976	0.0112813	0.0480181	0.0332671	0.068533	0.0244526	0.00365066	0.0301435	0.0462492	0.0168561	0.0233912	0.104943	0.0142631	0.0298003	0.0318206	0.00492039	0.261501	0.248403	0.0603651	0.0326495	0.383372	0.0137095	0.207388	0.22226	0.144485	0.425866	3.226614
50	-15092.6	-15112.7	20.1268	0.115756	0.0831504	0.0989612	0.104384	0.111664	0.0685855	0.116428	0.0768739	0.0819551	0.184958	0.105633	0.0915433	0.0858339	0.121309	0.134107	0.130897	0.149674	0.0938737	0.118562	0.0695704	0.0894166	0.094069	0.140607	0.0115977	0.0225852	0.0663467	0.0439146	0.0210254	0.00167629	0.0271105	0.0326105	0.0757927	0.0146069	0.0143155	0.0341261	0.0475151	0.0316667	0.028855	0.112986	0.0229445	0.0169774	0.0287036	0.0109817	0.250297	0.291518	0.0577788	0.0223434	0.366947	0.0111164	0.223348	0.234502	0.152443	0.389708	3.134149
60	-15085	-15104.7	19.767	0.120918	0.121018	0.0976211	0.100316	0.104585	0.0847114	0.129774	0.0914599	0.0671443	0.184237	0.098876	0.12108	0.100651	0.141598	0.117245	0.130129	0.143141	0.0977923	0.105556	0.067207	0.0953445	0.0866382	0.146833	0.0218591	0.0261997	0.0307771	0.039539	0.014735	0.00579559	0.041971	0.0249771	0.0640416	0.00653736	0.00926597	0.0380488	0.0552781	0.0301955	0.0279328	0.108101	0.0169681	0.0221135	0.022472	0.00945462	0.241669	0.281468	0.0517852	0.032528	0.380664	0.011886	0.223424	0.234582	0.152152	0.389841	3.170137
70	-14910.4	-14931.4	20.9648	0.118234	0.120205	0.101272	0.107809	0.0863284	0.0847114	0.123949	0.0634112	0.074882	0.193783	0.102285	0.0884683	0.096593	0.126343	0.12252	0.12565	0.137615	0.111904	0.0902142	0.0769423	0.0813042	0.081224	0.143295	0.0222946	0.00937257	0.0512505	0.0440066	0.0208492	0.00424704	0.0302587	0.0291569	0.0392088	0.0244006	0.0250902	0.034561	0.0582767	0.0177356	0.0256035	0.0646297	0.0375973	0.0243966	0.0228564	0.00561867	0.244844	0.279252	0.0541821	0.0266233	0.386386	0.0087135	0.224266	0.235466	0.152726	0.387543	3.050355
80	-14866.5	-14888.3	21.7853	0.11755	0.0981191	0.0986518	0.0925188	0.112913	0.0582687	0.115677	0.0835275	0.0731335	0.153263	0.087106	0.104303	0.0962246	0.117665	0.115979	0.119165	0.108218	0.120619	0.115882	0.0789901	0.0655653	0.122731	0.168108	0.00951393	0.0100124	0.0308567	0.0375276	0.0221	0.00357231	0.0306468	0.0399817	0.0368532	0.0383428	0.0126152	0.0222024	0.0342134	0.0254631	0.0238367	0.0762959	0.0354452	0.0207881	0.0221279	0.011734	0.243478	0.277694	0.057731	0.0264748	0.38423	0.0103931	0.217165	0.230808	0.17215	0.379877	2.968307
90	-14850.9	-14873.1	22.1951	0.0987783	0.102713	0.0916888	0.0973369	0.104999	0.0796042	0.119004	0.0691133	0.0793725	0.174237	0.0730216	0.0833582	0.0893568	0.119229	0.112214	0.112325	0.123294	0.107356	0.12379	0.0728164	0.0942424	0.0968336	0.149634	0.0109589	0.0130951	0.0396757	0.0326666	0.0291224	0.015003	0.0157681	0.0254321	0.0417583	0.0284768	0.0152619	0.0327186	0.0492043	0.0127875	0.0217195	0.0765108	0.0295035	0.0131814	0.0201918	0.0299637	0.246601	0.281256	0.0584715	0.0173883	0.389158	0.0071251	0.217165	0.230808	0.17215	0.379877	2.927318
100	-14813.7	-14835.9	22.235	0.106626	0.0987703	0.086759	0.110058	0.104306	0.0585297	0.108603	0.0813764	0.0963428	0.181245	0.0635815	0.0835281	0.0870364	0.103712	0.123267	0.13165	0.113742	0.117568	0.106468	0.0727898	0.08514	0.0993858	0.162148	0.0117623	0.0212396	0.044234	0.0495267	0.0158081	0.0118214	0.0138835	0.0373948	0.0364981	0.0344219	0.0104664	0.00780944	0.0453516	0.0152006	0.0288131	0.0790855	0.0252165	0.020274	0.0087621	0.0231257	0.246138	0.280728	0.0583619	0.0173557	0.388429	0.00898677	0.215216	0.228736	0.170604	0.385444	2.92333
110	-14779.7	-14802	22.2246	0.130314	0.094032	0.0908687	0.0919836	0.103297	0.0807917	0.0949789	0.0580181	0.0755712	0.181543	0.0534694	0.0890533	0.0862821	0.0816368	0.103938	0.121993	0.142552	0.108751	0.125457	0.0752445	0.0752424	0.0960011	0.162148	0.0242227	0.01394	0.0421092	0.0574907	0.0220649	0.0236611	0.0175885	0.0192974	0.0380223	0.0445803	0.0130122	0.0171843	0.0376812	0.0178087	0.0275796	0.0879754	0.0250352	0.0227552	0.0103052	0.0388898	0.231718	0.28175	0.0597327	0.0157858	0.397552	0.013461	0.240482	0.223716	0.158817	0.376985	2.924369
120	-14777.3	-14798	20.6522	0.122343	0.110011	0.0953719	0.112317	0.107054	0.090848	0.111776	0.0716313	0.085115	0.180473	0.0858189	0.0846134	0.0788141	0.0904393	0.130137	0.12539	0.142552	0.116138	0.133506	0.0818381	0.0764413	0.0941974	0.147368	0.0207537	0.0272918	0.0240952	0.0394384	0.0327839	0.0349776	0.0274511	0.0298835	0.0382384	0.0388454	0.00787627	0.0198685	0.0376048	0.010565	0.0200481	0.0960487	0.0229101	0.0145935	0.0219533	0.0421899	0.230445	0.280203	0.0594047	0.0261074	0.395369	0.00846988	0.240482	0.223716	0.158817	0.376985	3.081611
130	-14767.9	-14789.4	21.5363	0.122343	0.113531	0.101547	0.108795	0.108086	0.07435	0.126921	0.0701378	0.0729713	0.163514	0.0690202	0.0636722	0.0783812	0.0904393	0.101078	0.135796	0.133991	0.115701	0.10991	0.0843927	0.0887972	0.0904107	0.159317	0.0197366	0.0181634	0.042776	0.0511548	0.0306423	0.0290454	0.0243889	0.0179648	0.0329652	0.0368363	0.0116834	0.0223309	0.0426982	0.016404	0.0298571	0.0764494	0.0374085	0.0166887	0.0112421	0.0416617	0.228705	0.278087	0.0566847	0.0259102	0.398343	0.0122696	0.23952	0.222821	0.158182	0.379476	2.9932
140	-14789.6	-14811.8	22.2176	0.122343	0.106547	0.0930982	0.0881691	0.0976721	0.092275	0.133184	0.0762499	0.0633305	0.168628	0.0567239	0.0694696	0.0767415	0.0849612	0.102804	0.135796	0.091218	0.101019	0.110873	0.0918609	0.104745	0.0843286	0.156854	0.0333416	0.00904647	0.0360468	0.0411801	0.0264408	0.0384269	0.022552	0.0213227	0.0323164	0.044175	0.0258341	0.0336426	0.038538	0.0120238	0.0352839	0.0668524	0.0265689	0.0142853	0.0140412	0.0442663	0.228883	0.278303	0.0578059	0.0259303	0.398652	0.0104259	0.233895	0.228809	0.158075	0.37922	2.925076
150	-14780.7	-14801.9	21.1975	0.125572	0.0997128	0.0930982	0.0902958	0.113294	0.0874035	0.126465	0.0732542	0.0923139	0.183041	0.0735958	0.0920818	0.0919119	0.0849612	0.124313	0.129467	0.11574	0.100855	0.110873	0.0658249	0.0767647	0.096734	0.158704	0.021089	0.0215643	0.0366261	0.0483901	0.0213847	0.0315881	0.0316601	0.0288702	0.0516673	0.0604778	0.0159935	0.0230363	0.0408151	0.0178012	0.0227291	0.0568434	0.0408424	0.0158617	0.00499164	0.0285716	0.219593	0.276498	0.0617952	0.0382668	0.392765	0.0110815	0.233895	0.228809	0.158075	0.37922	3.02708
160	-14787.6	-14810	22.4149	0.134072	0.0827849	0.0930982	0.0934011	0.0800313	0.0761678	0.122524	0.0764355	0.0837766	0.159714	0.0793599	0.0662081	0.103609	0.0918599	0.113111	0.116912	0.132576	0.107767	0.112048	0.0659361	0.082973	0.096734	0.137288	0.0358233	0.00709931	0.0315377	0.0492172	0.017356	0.0429163	0.0224401	0.0214118	0.0259162	0.0424697	0.0248077	0.0266445	0.0589942	0.0199356	0.0188846	0.0753373	0.0282431	0.00857605	0.010452	0.0288933	0.224936	0.268059	0.0632986	0.0391979	0.402321	0.00218834	0.233631	0.217726	0.159324	0.389319	2.905343
170	-14776.5	-14798.7	22.1379	0.1112	0.11018	0.090819	0.0967939	0.0960341	0.0712738	0.119956	0.0764156	0.0819168	0.148241	0.072118	0.075251	0.0779069	0.100732	0.107869	0.113	0.113991	0.119542	0.118302	0.0880242	0.0979914	0.0900497	0.148189	0.0256844	0.0161974	0.0357163	0.0445485	0.0189937	0.0311687	0.0307279	0.0375619	0.0363903	0.0377779	0.0141973	0.0154847	0.0369083	0.0216773	0.0352039	0.067478	0.0371977	0.0202474	0.0194608	0.0246237	0.225009	0.265202	0.062624	0.0367278	0.398033	0.0124044	0.233631	0.217726	0.159324	0.389319	2.933043
180	-14785.3	-14807.4	22.0233	0.135389	0.111242	0.102843	0.0838408	0.0960341	0.0760593	0.0835788	0.0764156	0.0944806	0.147225	0.079505	0.0749596	0.0846839	0.0793298	0.0968937	0.109576	0.105521	0.1422	0.131077	0.0777597	0.0960444	0.0882213	0.148189	0.0163433	0.00658425	0.0466461	0.0592609	0.0192792	0.0357858	0.0209075	0.0319198	0.0470747	0.042953	0.0201292	0.0196261	0.0385155	0.0200169	0.0228822	0.0707335	0.0317256	0.0216133	0.0165152	0.0349184	0.224422	0.26451	0.0624606	0.0366319	0.396994	0.0149809	0.233631	0.217726	0.159324	0.389319	2.944498
190	-14759	-14781.2	22.2403	0.105146	0.11248	0.0973002	0.105514	0.0932951	0.0710549	0.121097	0.0988315	0.0944806	0.182485	0.0738394	0.0718557	0.0744691	0.0793535	0.102724	0.118192	0.110589	0.0969901	0.108984	0.0675232	0.0849017	0.0856957	0.161937	0.0210253	0.0362748	0.0283167	0.0577978	0.0177628	0.0346562	0.0223572	0.0305989	0.0573517	0.0352366	0.0111783	0.0192533	0.0307896	0.0157847	0.0284365	0.0675403	0.028255	0.0225346	0.00921303	0.0296997	0.237589	0.270244	0.0552689	0.0237536	0.4056	0.00754401	0.237121	0.216735	0.158598	0.387546	2.922801
200	-14749.3	-14771.3	21.983	0.112875	0.0913954	0.0924509	0.0897094	0.0940081	0.0611275	0.117232	0.0964551	0.0877437	0.165883	0.0811994	0.0741963	0.0896506	0.116127	0.10993	0.118192	0.109199	0.114487	0.127372	0.0744617	0.0863076	0.0856957	0.156655	0.0237813	0.0354234	0.0335609	0.0311342	0.0208668	0.0329569	0.0305865	0.0218305	0.0339328	0.0488595	0.0169587	0.0194067	0.0420576	0.0159981	0.0182088	0.0826731	0.0233365	0.0135002	0.0156353	0.0354715	0.225154	0.271717	0.0568313	0.0319111	0.406629	0.00775726	0.238432	0.217932	0.159474	0.384161	2.948534
210	-14751.7	-14775	23.2639	0.105845	0.0913954	0.0955053	0.0918501	0.087188	0.0729314	0.112787	0.0622419	0.0728664	0.165883	0.0611676	0.0672652	0.10213	0.0981841	0.111523	0.118192	0.120647	0.0956313	0.0945892	0.0792	0.0663105	0.0809265	0.156655	0.0218319	0.0342773	0.0383662	0.0341119	0.0272961	0.0313585	0.0273056	0.0224066	0.0460471	0.0490462	0.0181949	0.0225994	0.0367739	0.0208325	0.0288856	0.070882	0.0200404	0.0143889	0.0101434	0.0347461	0.226222	0.273006	0.0571008	0.025613	0.408558	0.00950006	0.239251	0.222211	0.157979	0.380559	2.820448
